d1,type,d2
DB01247,44,DB00283
DB06148,44,DB00657
DB01247,44,DB00366
DB00614,44,DB00283
DB09244,44,DB00283
DB09244,44,DB00366
DB06148,44,DB01338
DB00752,44,DB00366
DB00614,44,DB00366
DB06148,44,DB01337
DB06148,44,DB00483
DB06148,44,DB00804
DB01626,44,DB00366
DB06148,44,DB00732
DB06148,44,DB00747
DB01626,44,DB00283
DB06148,44,DB00940
DB06148,44,DB00209
DB00752,44,DB00283
DB06148,44,DB00572
DB06148,44,DB00908
DB06148,44,DB00462
DB00394,3,DB09281
DB00240,3,DB09281
DB00394,3,DB08938
DB00620,3,DB08938
DB00547,3,DB08938
DB06786,3,DB09281
DB06786,3,DB01377
DB01260,3,DB09281
DB00547,3,DB01377
DB06786,3,DB08938
DB01260,3,DB01377
DB00253,3,DB09281
DB01013,3,DB08938
DB01013,3,DB01377
DB00443,3,DB08938
DB00846,3,DB01377
DB00873,3,DB08938
DB00663,3,DB09281
DB00240,3,DB01377
DB00240,3,DB08938
DB00394,3,DB01377
DB00846,3,DB08938
DB01260,3,DB08938
DB00547,3,DB09281
DB00620,3,DB09281
DB00873,3,DB09281
DB00663,3,DB01377
DB00443,3,DB01377
DB00253,3,DB01377
DB00253,3,DB08938
DB00873,3,DB01377
DB00620,3,DB01377
DB01013,3,DB09281
DB00846,3,DB09281
DB00591,3,DB09281
DB00443,3,DB09281
DB00663,3,DB08938
DB00591,3,DB01377
DB00591,3,DB08938
DB09227,6,DB01154
DB00153,6,DB00238
DB08918,6,DB00238
DB00924,6,DB00849
DB01177,6,DB00564
DB00503,6,DB00564
DB00502,6,DB00564
DB01200,6,DB00238
DB00980,6,DB01320
DB00983,6,DB01320
DB01431,6,DB00564
DB00347,6,DB00564
DB01114,6,DB00238
DB01431,6,DB00238
DB06803,6,DB00564
DB01177,6,DB01320
DB01418,6,DB01154
DB06267,6,DB00238
DB00753,6,DB00564
DB00751,6,DB01320
DB00753,6,DB01320
DB00755,6,DB01320
DB00918,6,DB00238
DB00240,6,DB01320
DB00246,6,DB01320
DB06016,6,DB00564
DB01588,6,DB00238
DB12161,6,DB00564
DB01085,6,DB00564
DB00498,6,DB01154
DB06016,6,DB01320
DB00503,6,DB00238
DB01595,6,DB00564
DB00502,6,DB00238
DB11362,6,DB00238
DB08918,6,DB01320
DB00498,6,DB00849
DB03756,6,DB00564
DB00356,6,DB00564
DB00359,6,DB00564
DB00455,6,DB00238
DB00647,6,DB00238
DB00498,6,DB00474
DB01054,6,DB00849
DB00620,6,DB00238
DB00628,6,DB00238
DB01466,6,DB00238
DB00250,6,DB01320
DB06287,6,DB00238
DB00849,6,DB00238
DB00843,6,DB00238
DB06710,6,DB01320
DB01015,6,DB00564
DB06803,6,DB01320
DB06155,6,DB01320
DB00983,6,DB00564
DB01588,6,DB00564
DB01587,6,DB00564
DB08877,6,DB01320
DB00169,6,DB00564
DB00444,6,DB00238
DB04846,6,DB00564
DB08439,6,DB01320
DB06282,6,DB00238
DB00612,6,DB00238
DB00883,6,DB01320
DB06702,6,DB00564
DB01424,6,DB01320
DB00647,6,DB01320
DB06700,6,DB01320
DB06702,6,DB01320
DB01587,6,DB00238
DB00347,6,DB00238
DB06725,6,DB00564
DB08439,6,DB00564
DB06144,6,DB01320
DB06145,6,DB01320
DB01240,6,DB00564
DB09227,6,DB00849
DB00755,6,DB00564
DB00751,6,DB00564
DB00758,6,DB00564
