d1,type,d2
DB04571,74,DB00460
DB00855,74,DB00460
DB01600,74,DB00460
DB00553,74,DB00460
DB06261,74,DB00460
DB00140,74,DB00460
DB11315,44,DB08897
DB00424,44,DB08897
DB00517,44,DB00391
DB01090,44,DB09076
DB01168,44,DB01071
DB00810,44,DB01409
DB00332,44,DB00986
DB00805,44,DB00434
DB00670,44,DB00391
DB00496,44,DB01409
DB01409,44,DB08897
DB00182,44,DB06153
DB00967,44,DB01409
DB00219,44,DB00391
DB00670,44,DB00986
DB01339,44,DB09076
DB01090,44,DB00986
DB00387,44,DB08897
DB01036,44,DB01409
DB01090,44,DB08897
DB09300,44,DB09076
DB00782,44,DB08897
DB01116,44,DB00986
DB00670,44,DB09076
DB01591,44,DB01409
DB00517,44,DB00986
DB09076,44,DB00391
DB01591,44,DB00391
DB00780,44,DB01071
DB01199,44,DB00986
DB01037,44,DB00434
DB01591,44,DB00986
DB00332,44,DB08897
DB08897,44,DB09076
DB01171,44,DB00434
DB01199,44,DB00391
DB00387,44,DB09076
DB00332,44,DB09076
DB00517,44,DB08897
DB12278,44,DB08897
DB01116,44,DB00391
DB12278,44,DB00986
DB11315,44,DB09076
DB00424,44,DB00986
DB00782,44,DB00391
DB00376,44,DB01409
DB01062,44,DB00986
DB00219,44,DB00986
DB00986,44,DB01409
DB01036,44,DB08897
DB01036,44,DB09076
DB00805,44,DB01071
DB01171,44,DB06153
DB00332,44,DB00391
DB00376,44,DB09076
DB01171,44,DB01071
DB00915,44,DB00986
DB00387,44,DB01409
DB01168,44,DB00434
DB00967,44,DB00391
DB01339,44,DB08897
DB00392,44,DB01409
DB00782,44,DB01409
DB00809,44,DB09076
DB01090,44,DB01409
DB09300,44,DB08897
DB00424,44,DB00391
DB11315,44,DB01409
DB00986,44,DB08897
DB00219,44,DB08897
DB01168,44,DB06153
DB00332,44,DB01409
DB01339,44,DB00391
DB00182,44,DB00434
DB01173,44,DB00986
DB00670,44,DB01409
DB00219,44,DB09076
DB00967,44,DB00986
DB01367,44,DB00434
DB01036,44,DB00391
DB00424,44,DB09076
DB00782,44,DB09076
DB00392,44,DB00391
DB00219,44,DB01409
DB01199,44,DB09076
DB00340,44,DB08897
DB01199,44,DB08897
DB00376,44,DB00986
DB01409,44,DB09076
DB00670,44,DB08897
DB00979,44,DB09076
DB00810,44,DB00391
DB00496,44,DB00391
DB01116,44,DB08897
DB12278,44,DB00391
DB01116,44,DB09076
DB00809,44,DB00391
DB00340,44,DB09076
DB01173,44,DB01409
DB12278,44,DB09076
DB01037,44,DB01071
DB01367,44,DB06153
DB09245,44,DB00434
